,group,variable,value
714,France,Luxembourg,0.816568047
715,France,Switzerland,0.816568047
716,France,Austria,0.907103825
717,France,Germany,0.904109589
718,France,Spain,0.944591029
719,France,Brazil,0.96373057
720,France,Guatamala,0.955613577
721,France,Peru,0.969072165
722,France,Ecuador,0.958333333
723,France,Bolivia,0.955613577
724,France,Colombia,0.961038961
725,France,Paraguay,0.958333333
726,France,Chile,0.969072165
727,France,Uruguay,0.961038961
728,France,Argentina,0.958333333
729,France,Dominican Republic,0.955613577
730,France,Costa Rica,0.947368421
731,France,Nicaragua,0.958333333
732,France,Honduras,0.950131234
733,France,El Savador,0.955613577
734,France,Panama,0.947368421
735,France,Mexico,0.955613577
736,France,United States,0.930481283
737,France,Canada,0.91598916
738,France,Australia,0.91598916
739,France,New Zealand,0.924731183
740,France,South Africa,0.910081744
741,Italy,Italy,0
742,Italy,Sweden,0.918918919
743,Italy,Finland,0.921832884
744,Italy,Poland,0.904109589
745,Italy,Denmark,0.913043478
746,Italy,Netherlands,0.901098901
747,Italy,Iceland,0.918918919
748,Italy,Norway,0.907103825
749,Italy,Portugal,0.873239437
750,Italy,Greece,0.91598916
751,Italy,Czech Republic,0.904109589
752,Italy,Slovakia,0.891966759
753,Italy,Hungary,0.895027624
754,Italy,Bulgaria,0.906849315
755,Italy,Cyprus,0.888888889
756,Italy,Romania,0.898071625
757,Italy,Estonia,0.895027624
758,Italy,Lithuania,0.895027624
759,Italy,Malta,0.885793872
760,Italy,Ireland,0.907103825
761,Italy,United Kingdom,0.913043478
762,Italy,Latvia,0.907103825
763,Italy,Belgium,0.891966759
764,Italy,Luxembourg,0.86039886
765,Italy,Switzerland,0.853868195
766,Italy,Austria,0.901098901
767,Italy,Germany,0.891966759
768,Italy,Spain,0.891966759
769,Italy,Brazil,0.961038961
770,Italy,Guatamala,0.913043478
771,Italy,Peru,0.927613941
772,Italy,Ecuador,0.91598916
773,Italy,Bolivia,0.910081744
774,Italy,Colombia,0.918918919
775,Italy,Paraguay,0.918918919
776,Italy,Chile,0.933333333
777,Italy,Uruguay,0.921832884
778,Italy,Argentina,0.91598916
